name,type,wikipedia_section,approx_dates,status,matching_histomap_records,classification_flag,notes,suggested_action,wikipedia_url,wikidata_qid,qid_cross_check,histomap_url,histomap_dates,histomap_notes
Minoan civilization,civilization,Cradles of civilization,by 2000 BCE,present,"minoan_civilization_period (period, tier=period civilization_lane)",,,,https://en.wikipedia.org/wiki/Minoan_civilization,Q134178,confirmed: same Wikidata item,http://localhost:8000/explore?entity=minoan_civilization_period,2600 BCE - 1100 BCE,"Linear A is undeciphered, hence protohistorical. No matching polities/ record -- centered on Knossos and other Cretan palace-sites, not a single political actor."
Mycenaean Greece,civilization,Cradles of civilization,by 1600 BCE,partial / related records exist,"mycenaean_greece_period (period, tier=period civilization_lane)",,,,https://en.wikipedia.org/wiki/Mycenaean_Greece,Q181264,confirmed: same Wikidata item,,,
Late Bronze Age collapse,event,Cradles of civilization,1300-1000 BCE,partial / related records exist,"bronze_age_era (period, tier=regional_era)",,"aka Bronze Age Collapse, user's own example",,https://en.wikipedia.org/wiki/Late_Bronze_Age_collapse,Q1059758,matched record has no wikidata id on file,,,
Olmec civilization,civilization,Cradles of civilization,c. 1200 BCE onward,present,"olmec_civilization_period (period, tier=period civilization_lane)",,,,https://en.wikipedia.org/wiki/Olmecs,Q135364,confirmed: same Wikidata item,http://localhost:8000/explore?entity=olmec_civilization_period,1200 BCE - 400 BCE,"No deciphered Olmec writing system survives, hence archaeological rather than protohistorical. No matching polities/ record -- centered on sites like San Lorenzo and La Venta, not a single political a"
Mesoamerican classic period,period,Regional empires,c. 250-900 CE,present,"mesoamerican_classic (period, tier=period)",,No dedicated Wikipedia article for this specific sub-period; linked to the general Mesoamerican chronology article/QID instead.,,https://en.wikipedia.org/wiki/Mesoamerican_chronology,Q4964,matched record has no wikidata id on file,http://localhost:8000/explore?entity=mesoamerican_classic,250 CE - 900 CE,
Akkadian Empire,empire,Cradles of civilization,25th-21st c. BCE,present,"akkadian_empire (polity, entity_type=polity)",,,,https://en.wikipedia.org/wiki/Akkadian_Empire,Q4461035,confirmed: same Wikidata item,http://localhost:8000/explore?entity=akkadian_empire,2333 BCE - 2082 BCE,Automatically generated from Wikidata; requires review.
Third Dynasty of Ur / Neo-Sumerian Empire,empire,Cradles of civilization,22nd-21st c. BCE,partial / related records exist,"third_dynasty_of_ur (polity, entity_type=polity)",,,,https://en.wikipedia.org/wiki/Third_Dynasty_of_Ur,Q723587,confirmed: same Wikidata item,,,
Mahajanapadas,polity group,Cradles of civilization,from c. 550 BCE,partial / related records exist,"mahajanapada (polity, entity_type=polity)",,,,https://en.wikipedia.org/wiki/Mahajanapadas,Q846025,confirmed: same Wikidata item,,,
Kingdom of Kush,polity,Regional empires,"712-650 BCE, to 4th c. CE",present,"kingdom_of_kush (polity, entity_type=polity)",,,,https://en.wikipedia.org/wiki/Kingdom_of_Kush,Q241790,confirmed: same Wikidata item,http://localhost:8000/explore?entity=kingdom_of_kush,2179 BCE - 350 CE,Automatically generated from Wikidata; requires review.
Kingdom of Aksum,polity,Regional empires,1st c. CE onward,present,"kingdom_of_aksum (polity, entity_type=polity)",,,,https://en.wikipedia.org/wiki/Kingdom_of_Aksum,Q139377,confirmed: same Wikidata item,http://localhost:8000/explore?entity=kingdom_of_aksum,400 BCE - 960 CE,Automatically generated from Wikidata; requires review.
Achaemenid Empire,empire,Regional empires,550-330 BCE,present,"achaemenid_empire (polity, entity_type=polity)",,,,https://en.wikipedia.org/wiki/Achaemenid_Empire,Q389688,confirmed: same Wikidata item,http://localhost:8000/explore?entity=achaemenid_empire,549 BCE - 329 BCE,Automatically generated from Wikidata; requires review.
Median Empire,empire,Regional empires,preceding Achaemenid,present,"median_kingdom (polity, entity_type=polity)",,,,https://en.wikipedia.org/wiki/Median_kingdom,Q20437507,confirmed: same Wikidata item,http://localhost:8000/explore?entity=median_kingdom,677 BCE - 549 BCE,Automatically generated from Wikidata; requires review.
Parthian Empire,empire,Regional empires,247 BCE-224 CE,present,"parthian_empire (polity, entity_type=polity)",,,,https://en.wikipedia.org/wiki/Parthian_Empire,Q1986139,confirmed: same Wikidata item,http://localhost:8000/explore?entity=parthian_empire,246 BCE - 224 CE,Automatically generated from Wikidata; requires review.
Sasanian Empire,empire,Regional empires,224-651 CE,present,"sasanian_empire (polity, entity_type=polity)",,,,https://en.wikipedia.org/wiki/Sasanian_Empire,Q83891,confirmed: same Wikidata item,http://localhost:8000/explore?entity=sasanian_empire,224 CE - 651 CE,Automatically generated from Wikidata; requires review.
Carthaginian Empire,empire,Regional empires,,present,"ancient_carthage (polity, entity_type=civilization)",,,,https://en.wikipedia.org/wiki/Ancient_Carthage,Q2429397,confirmed: same Wikidata item,http://localhost:8000/explore?entity=ancient_carthage,813 BCE - 145 BCE,Automatically generated from Wikidata; requires review.
Roman Republic,polity,Regional empires,founded 6th c. BCE,present,"roman_republic (polity, entity_type=polity); roman_republic_q1072140 (polity, entity_type=polity); roman_republic_q17167 (polity, entity_type=polity); roman_republic_q175881 (polity, entity_type=polity)",,,,https://en.wikipedia.org/wiki/Roman_Republic,Q17167,confirmed: same Wikidata item,http://localhost:8000/explore?entity=roman_republic,509 BCE - 27 BCE,4 matching records total; showing the first (roman_republic) -- Traditional founding date 509 BCE is legendary; end conventionally 27 BCE with the grant of the title Augustus to Octavian.
Roman Empire,polity,Regional empires,from c. 27 BCE,present,"byzantine_empire (polity, entity_type=polity)",,no dedicated record for the unified 27 BCE-395 CE empire -- only reachable via Roman Republic + Byzantine Empire (which carries 'Roman Empire' as a Wikidata alias); worth a look,,https://en.wikipedia.org/wiki/Roman_Empire,Q2277,"MISMATCH -- matched record(s) carry ['Q12544'], Wikipedia article is Q2277",http://localhost:8000/explore?entity=byzantine_empire,395 CE - 1453 CE,Automatically generated from Wikidata; requires review.
Byzantine Empire,polity,Post-classical overview,,present,"byzantine_empire (polity, entity_type=polity)",,,,https://en.wikipedia.org/wiki/Byzantine_Empire,Q12544,confirmed: same Wikidata item,http://localhost:8000/explore?entity=byzantine_empire,395 CE - 1453 CE,Automatically generated from Wikidata; requires review.
Western Roman Empire,polity,"Declines, falls, and resurgence",fell 476 CE,present,"western_roman_empire (polity, entity_type=polity)",,,,https://en.wikipedia.org/wiki/Western_Roman_Empire,Q42834,confirmed: same Wikidata item,http://localhost:8000/explore?entity=western_roman_empire,395 CE - 476 CE,Automatically generated from Wikidata; requires review.
Maurya Empire,empire,Regional empires,320-185 BCE,present,"maurya_empire (polity, entity_type=polity)",,,,https://en.wikipedia.org/wiki/Maurya_Empire,Q62943,confirmed: same Wikidata item,http://localhost:8000/explore?entity=maurya_empire,321 BCE - 184 BCE,Automatically generated from Wikidata; requires review.
Gupta Empire,empire,Regional empires,4th-6th c. CE,present,"gupta_empire (polity, entity_type=polity)",,,,https://en.wikipedia.org/wiki/Gupta_Empire,Q11774,confirmed: same Wikidata item,http://localhost:8000/explore?entity=gupta_empire,320 CE - 550 CE,Automatically generated from Wikidata; requires review.
Qin dynasty,dynasty,Regional empires,221-206 BCE,present,"qin_dynasty (polity, entity_type=polity)",,,,https://en.wikipedia.org/wiki/Qin_dynasty,Q7183,confirmed: same Wikidata item,http://localhost:8000/explore?entity=qin_dynasty,220 BCE - 205 BCE,Automatically generated from Wikidata; requires review.
Han dynasty,dynasty,Regional empires,202 BCE-220 CE,partial / related records exist,"eastern_han (polity, entity_type=polity); later_han_dynasty (polity, entity_type=polity); western_han (polity, entity_type=polity)",,,,https://en.wikipedia.org/wiki/Han_dynasty,Q7209,"MISMATCH -- matched record(s) carry ['Q1069829', 'Q1072949', 'Q1147037'], Wikipedia article is Q7209",,,
Sui dynasty,dynasty,Post-classical overview,,present,"seshat_sui_dynasty_cnsui (polity, entity_type=polity); sui_dynasty (polity, entity_type=polity)",,,,https://en.wikipedia.org/wiki/Sui_dynasty,Q7405,confirmed: same Wikidata item,http://localhost:8000/explore?entity=seshat_sui_dynasty_cnsui,581 CE - 617 CE,2 matching records total; showing the first (seshat_sui_dynasty_cnsui) -- Kept as a separate entity during Seshat reconciliation; requires canonical review.
Tang dynasty,dynasty,Post-classical overview,,present,"tang_dynasty (polity, entity_type=polity)",,,,https://en.wikipedia.org/wiki/Tang_dynasty,Q9683,confirmed: same Wikidata item,http://localhost:8000/explore?entity=tang_dynasty,618 CE - 907 CE,Automatically generated from Wikidata; requires review.
Song dynasty,dynasty,Post-classical overview,,present,"song_dynasty (polity, entity_type=polity)",,,,https://en.wikipedia.org/wiki/Song_dynasty,Q7462,confirmed: same Wikidata item,http://localhost:8000/explore?entity=song_dynasty,960 CE - 1279 CE,Automatically generated from Wikidata; polity eligibility and geography reviewed.
Yuan dynasty,dynasty,Post-classical overview,,present,"yuan_dynasty (polity, entity_type=polity)",,,,https://en.wikipedia.org/wiki/Yuan_dynasty,Q7313,confirmed: same Wikidata item,http://localhost:8000/explore?entity=yuan_dynasty,1271 CE - 1368 CE,Automatically generated from Wikidata; requires review.
Ming dynasty,dynasty,Post-classical overview,,present,"ming_dynasty (polity, entity_type=polity)",,,,https://en.wikipedia.org/wiki/Ming_dynasty,Q9903,confirmed: same Wikidata item,http://localhost:8000/explore?entity=ming_dynasty,1368 CE - 1644 CE,Automatically generated from Wikidata; requires review.
Abbasid Caliphate,polity,West and Central Asia,,present,"abbasid_caliphate (polity, entity_type=polity)",,,,https://en.wikipedia.org/wiki/Abbasid_Caliphate,Q12536,confirmed: same Wikidata item,http://localhost:8000/explore?entity=abbasid_caliphate,750 CE - 1258 CE,Automatically generated from Wikidata; requires review.
Fatimid Caliphate,polity,West and Central Asia,from 10th c.,present,"fatimid_caliphate (polity, entity_type=polity)",,,,https://en.wikipedia.org/wiki/Fatimid_Caliphate,Q160307,confirmed: same Wikidata item,http://localhost:8000/explore?entity=fatimid_caliphate,909 CE - 1171 CE,Automatically generated from Wikidata; requires review.
Ayyubid dynasty,dynasty,West and Central Asia,12th c. onward,present,"ayyubid_dynasty (polity, entity_type=polity)",,,,https://en.wikipedia.org/wiki/Ayyubid_dynasty,Q180114,confirmed: same Wikidata item,http://localhost:8000/explore?entity=ayyubid_dynasty,1171 CE - 1341 CE,Automatically generated from Wikidata; requires review.
Mamluk Sultanate,polity,West and Central Asia,13th c. onward,partial / related records exist,"mamluk_sultanate_of_egypt (polity, entity_type=polity); medieval_egypt (polity, entity_type=polity); seshat_egypt_egmambh (polity, entity_type=polity)",,,,https://en.wikipedia.org/wiki/Mamluk_Sultanate,Q282428,confirmed: same Wikidata item,,,
Umayyad Caliphate,polity,West and Central Asia,,present,"umayyad_caliphate (polity, entity_type=polity)",,,,https://en.wikipedia.org/wiki/Umayyad_Caliphate,Q8575586,confirmed: same Wikidata item,http://localhost:8000/explore?entity=umayyad_caliphate,661 CE - 750 CE,Automatically generated from Wikidata; requires review.
Seljuk Empire,empire,West and Central Asia,from mid-11th c.,present,"seljuk_empire (polity, entity_type=polity)",,,,https://en.wikipedia.org/wiki/Seljuk_Empire,Q3708094,confirmed: same Wikidata item,http://localhost:8000/explore?entity=seljuk_empire,1037 CE - 1194 CE,Automatically generated from Wikidata; requires review.
Ottoman Empire,empire,West and Central Asia,founded c. 1299,present,"ottoman_empire (polity, entity_type=polity)",,,,https://en.wikipedia.org/wiki/Ottoman_Empire,Q12560,confirmed: same Wikidata item,http://localhost:8000/explore?entity=ottoman_empire,1299 CE - 1922 CE,Automatically generated from Wikidata; requires review.
Almoravid dynasty,dynasty,West and Central Asia,from 11th c.,present,"almoravid_dynasty (polity, entity_type=polity)",,,,https://en.wikipedia.org/wiki/Almoravid_dynasty,Q75613,confirmed: same Wikidata item,http://localhost:8000/explore?entity=almoravid_dynasty,1040 CE - 1147 CE,Automatically generated from Wikidata; requires review.
Almohad Caliphate,polity,West and Central Asia,12th c. onward,present,"almohad_caliphate (polity, entity_type=polity)",,,,https://en.wikipedia.org/wiki/Almohad_Caliphate,Q199688,confirmed: same Wikidata item,http://localhost:8000/explore?entity=almohad_caliphate,1121 CE - 1269 CE,Automatically generated from Wikidata; requires review.
Marinid dynasty,dynasty,West and Central Asia,post-Almohad,present,"marinid_dynasty (polity, entity_type=polity)",,,,https://en.wikipedia.org/wiki/Marinid_dynasty,Q582861,confirmed: same Wikidata item,http://localhost:8000/explore?entity=marinid_dynasty,1215 CE - 1465 CE,Automatically generated from Wikidata; requires review.
Zayyanid dynasty (Kingdom of Tlemcen),polity,West and Central Asia,post-Almohad,partial / related records exist,"kingdom_of_tlemcen (polity, entity_type=polity)",,,,https://en.wikipedia.org/wiki/Zayyanid_dynasty,Q307697,"MISMATCH -- matched record(s) carry ['Q17030701'], Wikipedia article is Q307697",,,
Hafsid dynasty,dynasty,West and Central Asia,post-Almohad,present,"hafsid_dynasty (polity, entity_type=polity)",,,,https://en.wikipedia.org/wiki/Hafsid_dynasty,Q752662,confirmed: same Wikidata item,http://localhost:8000/explore?entity=hafsid_dynasty,1229 CE - 1574 CE,Automatically generated from Wikidata; requires review.
Samanid Empire,empire,West and Central Asia,9th-13th c.,present,"samanid_empire (polity, entity_type=polity)",,,,https://en.wikipedia.org/wiki/Samanid_Empire,Q12150341,confirmed: same Wikidata item,http://localhost:8000/explore?entity=samanid_empire,819 CE - 999 CE,Automatically generated from Wikidata; requires review.
Khwarazmian Empire,empire,West and Central Asia,9th-13th c.,present,"khwarazmian_empire (polity, entity_type=polity)",,,,https://en.wikipedia.org/wiki/Khwarazmian_Empire,Q63134381,confirmed: same Wikidata item,http://localhost:8000/explore?entity=khwarazmian_empire,1077 CE - 1231 CE,Automatically generated from Wikidata; requires review.
Timurid Empire,empire,West and Central Asia,from 1370,present,"timurid_empire (polity, entity_type=polity)",,,,https://en.wikipedia.org/wiki/Timurid_Empire,Q484195,confirmed: same Wikidata item,http://localhost:8000/explore?entity=timurid_empire,1370 CE - 1507 CE,Automatically generated from Wikidata; requires review.
Mali Empire,empire,Post-classical overview,,present,"mali_empire (polity, entity_type=polity)",,,,https://en.wikipedia.org/wiki/Mali_Empire,Q184536,confirmed: same Wikidata item,http://localhost:8000/explore?entity=mali_empire,1235 CE - 1670 CE,Automatically generated from Wikidata; requires review.
Songhai Empire,empire,Post-classical overview,,present,"songhai_empire (polity, entity_type=polity)",,,,https://en.wikipedia.org/wiki/Songhai_Empire,Q202687,confirmed: same Wikidata item,http://localhost:8000/explore?entity=songhai_empire,1464 CE - 1591 CE,Automatically generated from Wikidata; requires review.
Maya civilization,civilization,Regional empires,peak c. 250-900 CE,present,"maya_civilization (polity, entity_type=civilization)",,,,https://en.wikipedia.org/wiki/Maya_civilization,Q28567,confirmed: same Wikidata item,http://localhost:8000/explore?entity=maya_civilization,2000 BCE - 1521 CE,Automatically generated from Wikidata; requires review.
Aztec Empire,empire,Post-classical overview,,present,"aztec_empire (polity, entity_type=polity)",,,,https://en.wikipedia.org/wiki/Aztec_Empire,Q2608489,confirmed: same Wikidata item,http://localhost:8000/explore?entity=aztec_empire,1325 CE - 1521 CE,Automatically generated from Wikidata; requires review.
Inca Empire,empire,Post-classical overview,,present,"inca_empire (polity, entity_type=polity)",,,,https://en.wikipedia.org/wiki/Inca_Empire,Q28573,confirmed: same Wikidata item,http://localhost:8000/explore?entity=inca_empire,1438 CE - 1533 CE,Automatically generated from Wikidata; requires review.
Kievan Rus',polity,Europe,,present,"kievan_rus (polity, entity_type=polity)",,,,https://en.wikipedia.org/wiki/Kievan_Rus%27,Q1108445,confirmed: same Wikidata item,http://localhost:8000/explore?entity=kievan_rus,882 CE - 1240 CE,Automatically generated from Wikidata; requires review.
Carolingian Empire,empire,Europe,7th-9th c.,present,"carolingian_empire (polity, entity_type=polity)",,,,https://en.wikipedia.org/wiki/Carolingian_Empire,Q31929,confirmed: same Wikidata item,http://localhost:8000/explore?entity=carolingian_empire,800 CE - 887 CE,Automatically generated from Wikidata; requires review.
Shang dynasty,dynasty,Cradles of civilization,1766-1045 BCE,present,"shang_dynasty (polity, entity_type=polity)",,,,https://en.wikipedia.org/wiki/Shang_dynasty,Q128938,confirmed: same Wikidata item,http://localhost:8000/explore?entity=shang_dynasty,1599 BCE - 1045 BCE,Automatically generated from Wikidata; requires review.
League of Corinth (Hellenic League),polity group,Regional empires,Philip of Macedon era,partial / related records exist,"league_of_corinth (polity, entity_type=polity)",,,,https://en.wikipedia.org/wiki/League_of_Corinth,Q332337,confirmed: same Wikidata item,,,
