name,type,source_rank,approx_dates,status,matching_histomap_records,classification_flag,notes,suggested_action,wikipedia_url,wikidata_qid,qid_cross_check,histomap_url,histomap_dates,histomap_notes
Life of Muhammad / Birth of Islam,event,17,570-630 CE,missing,"rashidun_caliphate (polity, 632-661, the first Islamic state) already exists as a bound target",candidate event,Same reasoning as Buddha/Confucius/Jesus; rashidun_caliphate is a ready-made bounds target (edge=start).,"consider a new event record, bound to rashidun_caliphate",https://en.wikipedia.org/wiki/Muhammad,Q9458,,http://localhost:8000/explore?entity=rashidun_caliphate,632 to 661,
Battle of Tours-Poitiers,event,18,732 CE,missing,,candidate event,Marks the limit of Umayyad expansion into western Europe.,consider a new event record,https://en.wikipedia.org/wiki/Battle_of_Tours,Q173077,,,,
Charlemagne Crowned Holy Roman Emperor,event,19,800 CE,partial / covered implicitly,"carolingian_empire (polity, starts exactly 800)",,The coronation is already implicit in carolingian_empire's start date; no explicit event record exists.,optional: explicit event bound to carolingian_empire (edge=start),https://en.wikipedia.org/wiki/Charlemagne,Q3044,,http://localhost:8000/explore?entity=carolingian_empire,800 to 887,
Norse Exploration of the North Atlantic,event,21,c. 870-1000 CE,partial / related record exists,"viking_age_period (period, civilization_lane, 793-1066)",,The broader Viking Age is already covered; this specific Vinland/North Atlantic settlement episode has no dedicated record.,low priority; no action recommended,https://en.wikipedia.org/wiki/Norse_colonization_of_the_Americas,Q582948,,http://localhost:8000/explore?entity=viking_age_period,793 to 1066,
Norman Conquest of England,event,22,1066 CE,missing,kingdom_of_england (polity) already exists as a bound target,candidate event,"A major, well-defined event; kingdom_of_england is a ready bounds target.",consider a new event record,https://en.wikipedia.org/wiki/Norman_Conquest,Q200485,,http://localhost:8000/explore?entity=kingdom_of_england,,
The First Crusade,event,24,1095-1099,missing,,candidate event,"A major, well-defined event.",consider a new event record,https://en.wikipedia.org/wiki/First_Crusade,Q51649,,,,
Khmer Empire Builds Angkor Wat,polity,25,c. 1150 CE,present,khmer_empire (polity),,,,https://en.wikipedia.org/wiki/Khmer_Empire,Q201705,http://localhost:8000/explore?entity=khmer_empire,,,
Kamakura Shogunate Established,polity,26,1192 CE,present,kamakura_shogunate (polity),,,,https://en.wikipedia.org/wiki/Kamakura_shogunate,Q736839,http://localhost:8000/explore?entity=kamakura_shogunate,,,
Genghis Khan's Mongol Empire,polity,27,1206-1260,present,mongol_empire (polity),,,,https://en.wikipedia.org/wiki/Mongol_Empire,Q12557,http://localhost:8000/explore?entity=mongol_empire,,,
Magna Carta Signed,event,28,1215,missing,kingdom_of_england (polity) already exists as a bound target,candidate event,"A hugely significant, well-defined event.",consider a new event record,https://en.wikipedia.org/wiki/Magna_Carta,Q12519,,http://localhost:8000/explore?entity=kingdom_of_england,,
Marco Polo's Travels,person,29,1271-1300,missing,,"individual's travels, not a polity/period/event","A single traveler's journey, not a political entity or civilizational event.",no action,https://en.wikipedia.org/wiki/Marco_Polo,Q6101,,,,
Rise and Fall of the Aztec Civilization,polity,30,1325-1521,present,aztec_empire (polity),,,,https://en.wikipedia.org/wiki/Aztec_Empire,Q2608489,http://localhost:8000/explore?entity=aztec_empire,,,
The Black Death,event,31,1347-1348,missing,,candidate event,One of the most demographically and civilizationally significant events in the period; currently absent.,consider a new event record,https://en.wikipedia.org/wiki/Black_Death,Q42005,,,,
The Italian Renaissance,period,32,c. 1400-1550,present / covered by broader record,renaissance (period),,"The existing renaissance.yaml record covers the (broader) European Renaissance, which subsumes the Italian Renaissance specifically.",no action,https://en.wikipedia.org/wiki/Italian_Renaissance,Q1404472,different QID (specific vs. broader concept) -- not a gap,http://localhost:8000/explore?entity=renaissance,,
The Inca Empire,polity,33,1438-1533,present,inca_empire (polity),,,,https://en.wikipedia.org/wiki/Inca_Empire,Q28573,http://localhost:8000/explore?entity=inca_empire,,,
Gutenberg's Printing Press,technology,34,1440-1455,missing,,not a polity/period/event,"A technology/invention, not a political entity or dated era event.",no action,https://en.wikipedia.org/wiki/Printing_press,Q144334,,,,
Ottoman Turks Take Constantinople,event,35,1453,missing,"byzantine_empire (polity, already ends 1453) already exists as a bound target",candidate event,Marks the end of the Byzantine Empire and a major turning point; already implicit in byzantine_empire's end date but has no explicit event record.,"consider a new event record, bound to byzantine_empire (edge=end)",https://en.wikipedia.org/wiki/Fall_of_Constantinople,Q160077,,http://localhost:8000/explore?entity=byzantine_empire,,
Columbus Arrives in the West Indies,event,36,1492,missing,"age_of_discovery (period, regional_era, just promoted) already exists as a bound target","candidate event, high value",Arguably THE defining event of the just-created age_of_discovery regional era; would be a strong bounds candidate (edge=start).,"consider a new event record, bound to age_of_discovery",https://en.wikipedia.org/wiki/Voyages_of_Christopher_Columbus,Q18578423,,http://localhost:8000/explore?entity=age_of_discovery,,
Vasco da Gama's Sea Route to India,person,37,1498,missing,age_of_discovery (period) already covers this era,individual voyage,A single explorer's voyage; the era is already covered by age_of_discovery.,no action,https://en.wikipedia.org/wiki/Vasco_da_Gama,Q7328,,http://localhost:8000/explore?entity=age_of_discovery,,
New World Foods Brought to Europe,event,38,1500-1600,missing,,candidate event/period,"The Columbian Exchange is a major, well-documented civilizational-impact process.",consider a new event or period record,https://en.wikipedia.org/wiki/Columbian_exchange,Q767253,,,,
The Slave Trade: Enslaved African People Brought to the Americas,period,39,1502-1619,missing,,candidate period,"A major, centuries-long process with enormous demographic and civilizational impact; no dedicated Histomap record found.",consider a new period record (Atlantic slave trade),https://en.wikipedia.org/wiki/Atlantic_slave_trade,Q10701282,,,,
The Protestant Reformation,period,40,1517-1648,present,reformation (period),,,,https://en.wikipedia.org/wiki/Reformation,Q12562,http://localhost:8000/explore?entity=reformation,,,
Suleiman the Magnificent's Ottoman Empire,person,41,1520-1566,missing,ottoman_empire (polity) already covers this era,individual ruler's reign,A specific ruler's reign within an already-covered polity.,no action,https://en.wikipedia.org/wiki/Suleiman_the_Magnificent,Q8474,,,,
Ferdinand Magellan's Circumnavigation,event,42,1522,missing,age_of_discovery (period) already covers this era,"candidate event, moderate priority","A well-defined, significant event within the Age of Discovery.","consider a new event record, bound to age_of_discovery",https://en.wikipedia.org/wiki/Ferdinand_Magellan,Q1496,,http://localhost:8000/explore?entity=age_of_discovery,,
Copernicus's On the Revolutions of the Celestial Spheres,person,43,1543,missing,,book/scientific publication,"A scientific publication, not a political entity or civilizational event.",no action,https://en.wikipedia.org/wiki/Nicolaus_Copernicus,Q619,,,,
Defeat of the Spanish Armada,event,44,1588,missing,,candidate event,A significant naval/political turning point.,consider a new event record,https://en.wikipedia.org/wiki/Spanish_Armada,Q179684,,,,
Shakespeare Writes Hamlet,cultural work,45,1599-1601,missing,,literary work,"A play, not a political entity or civilizational event.",no action,https://en.wikipedia.org/wiki/Hamlet,Q41567,,,,
Jamestown Settlement Established,event,46,1607,missing,"virginia (polity, but starts 1788 -- statehood, not the colonial settlement)",candidate event,"The first permanent English settlement in the Americas; the existing virginia.yaml record starts well after (1788, US statehood), leaving the colonial period uncovered.",consider a new event record,"https://en.wikipedia.org/wiki/Jamestown,_Virginia",Q323813,,http://localhost:8000/explore?entity=virginia,1788 to present,
Galileo's Starry Messenger,person,47,1609-1610,missing,,book/scientific publication,"A scientific publication, not a political entity or civilizational event.",no action,https://en.wikipedia.org/wiki/Sidereus_Nuncius,Q1457297,,,,
The English Civil War,period,48,1642-1660,missing,kingdom_of_england (polity) already exists as surrounding context,candidate period/event,"A major, well-defined conflict with lasting constitutional impact; no dedicated Histomap record found.",consider a new period or event record,https://en.wikipedia.org/wiki/English_Civil_War,Q80330,,http://localhost:8000/explore?entity=kingdom_of_england,,
Mughal Emperor Shah Jahan Builds the Taj Mahal,monument,49,1632-1653,missing,mughal_empire (polity) already covers this era,"monument, not an entity",The Taj Mahal is a monument; the era is already covered by mughal_empire.,no action,https://en.wikipedia.org/wiki/Taj_Mahal,Q9141,,http://localhost:8000/explore?entity=mughal_empire,,
The Power of Steam is Harnessed,technology,50,1663-1801,missing,industrial_revolution (period) already covers this era,"technology, not an entity",The steam engine is a technology; the era is already covered by industrial_revolution.,no action,https://en.wikipedia.org/wiki/Steam_engine,Q12760,,http://localhost:8000/explore?entity=industrial_revolution,,
Battle of Vienna,event,51,1683,missing,"ottoman_empire, holy_roman_empire (polities) already exist as bound targets",candidate event,"Halted Ottoman expansion into central Europe; a major, well-defined turning point.",consider a new event record,https://en.wikipedia.org/wiki/Battle_of_Vienna,Q200855,,,,
Newton's Principia Mathematica,person,52,1687,missing,,book/scientific publication,"A scientific publication, not a political entity or civilizational event.",no action,https://en.wikipedia.org/wiki/Philosophi%C3%A6_Naturalis_Principia_Mathematica,Q205921,,,,
Innovations Spark the Industrial Revolution,period,53,1733-1785,present,industrial_revolution (period),,,,https://en.wikipedia.org/wiki/Industrial_Revolution,Q2269,http://localhost:8000/explore?entity=industrial_revolution,,,
The Boston Tea Party,event,54,12/16/1773,missing,,candidate event,"A well-defined, well-known event that helped trigger the American Revolution.",consider a new event record,https://en.wikipedia.org/wiki/Boston_Tea_Party,Q19024,,,,
The American Revolution,event,55,1775-1783,missing,"united_states (polity, but starts 1784 -- after the war, not the revolutionary war/founding period itself)",candidate event/period,The war itself (1775-1783) predates the existing united_states.yaml record (starts 1784); no dedicated record for the revolutionary period.,consider a new event or period record,https://en.wikipedia.org/wiki/American_Revolution,Q192769,,http://localhost:8000/explore?entity=united_states,1784 to present,
