name,type,source_rank,approx_dates,status,matching_histomap_records,classification_flag,notes,suggested_action,wikipedia_url,wikidata_qid,qid_cross_check,histomap_url,histomap_dates,histomap_notes
Siege of Baghdad (1258),event,12,1258 CE,missing,"abbasid_caliphate (polity, ends exactly 1258) already exists as a bound target",candidate event,Mongol destruction of Baghdad; ends the Abbasid Caliphate's political power and the Islamic Golden Age.,consider a new event record,https://en.wikipedia.org/wiki/Siege_of_Baghdad,Q369560,,http://localhost:8000/explore?entity=abbasid_caliphate,750 to 1258,
Ming dynasty,polity,13,1368-1644,present,ming_dynasty (polity),,,,https://en.wikipedia.org/wiki/Ming_dynasty,Q9903,http://localhost:8000/explore?entity=ming_dynasty,,
Hundred Years' War,period,14,1337-1453,missing,,candidate period,"A defining, centuries-long Anglo-French conflict; no dedicated Histomap record found.",consider a new period record,https://en.wikipedia.org/wiki/Hundred_Years%27_War,Q12551,,,,
Thirty Years' War,period,15,1618-1648,missing,,candidate period,One of the most destructive European wars; no dedicated Histomap record found.,consider a new period record,https://en.wikipedia.org/wiki/Thirty_Years%27_War,Q2487,,,,
Peace of Westphalia,event,16,1648,missing,would bind to a new thirty_years_war period (edge=end) if created,candidate event,Ends the Thirty Years' War; conventionally cited as the origin of the modern state system.,"consider a new event record, bound to thirty_years_war if created",https://en.wikipedia.org/wiki/Peace_of_Westphalia,Q150995,,,,
Plymouth Colony,polity,17,1620-1691,missing,,candidate polity,"The Mayflower Pilgrims' colony; a distinct, well-documented polity with no existing Histomap record.",consider a new polity record,https://en.wikipedia.org/wiki/Plymouth_Colony,Q126195,,,,
First Africans arrive in English Virginia,event,18,1619,missing,"atlantic_slave_trade (period, 1500-1866) covers this era but 1619 is far from either edge -- not a valid bounds match",candidate event,Conventionally cited as the start of slavery in the English colonies that became the United States.,"consider a new event record, left unattached",https://en.wikipedia.org/wiki/Slavery_in_the_colonial_history_of_the_United_States,Q7539285,,http://localhost:8000/explore?entity=atlantic_slave_trade,1500 to 1866,
Declaration of Independence,event,19,1776,missing,"american_revolution (period, 1775-1783) already covers this era","candidate event, high value",Arguably the single most iconic event of the American Revolution.,"consider a new event record, bound to american_revolution",https://en.wikipedia.org/wiki/United_States_Declaration_of_Independence,Q127912,,http://localhost:8000/explore?entity=american_revolution,1775 to 1783,
Slave Trade Act 1807,event,20,1807,missing,atlantic_slave_trade (period) covers this era but 1807 is not near either edge,candidate event,"Britain's abolition of the slave trade (not slavery itself, which followed in 1833); a major turning point.","consider a new event record, left unattached",https://en.wikipedia.org/wiki/Slave_Trade_Act_1807,Q770832,,http://localhost:8000/explore?entity=atlantic_slave_trade,1500 to 1866,
Battle of Waterloo,event,21,1815,missing,"first_french_empire (polity, ends exactly 1815) already exists as a bound target",candidate event,Ends the Napoleonic Wars and Napoleon's rule.,consider a new event record,https://en.wikipedia.org/wiki/Battle_of_Waterloo,Q48314,,http://localhost:8000/explore?entity=first_french_empire,1804 to 1815,
American Civil War,period,22,1861-1865,missing,united_states (polity) already covers this era,candidate period,A defining conflict in US history; no dedicated Histomap record found.,consider a new period record,https://en.wikipedia.org/wiki/American_Civil_War,Q8676,,http://localhost:8000/explore?entity=united_states,,
Emancipation Proclamation,event,23,1863,missing,united_states (polity) already exists as a bound target,candidate event,Would sit inside a new american_civil_war period if created.,consider a new event record,https://en.wikipedia.org/wiki/Emancipation_Proclamation,Q391358,,http://localhost:8000/explore?entity=united_states,,
World War I,period,24,1914-1918,missing,"only the broad *_world_wars_reordering_era per-continent backdrop periods exist (1914-1945, covering both wars together)","candidate period, high value","Surprising structural gap: no dedicated record for WWI itself, despite it being one of history's most consequential events.",consider a new period record,https://en.wikipedia.org/wiki/World_War_I,Q361,,,,
World War II,period,25,1939-1945,missing,same as WWI above,"candidate period, high value",Same structural gap as WWI.,consider a new period record,https://en.wikipedia.org/wiki/World_War_II,Q362,,,,
Russian Revolution,event,26,1917,missing,"soviet_union (polity, starts 1922, 5 years later) -- not an exact edge match but within tolerance",candidate event,The 1917 revolutions that ended the Russian Empire and led to the USSR's founding in 1922.,consider a new event record,https://en.wikipedia.org/wiki/Russian_Revolution,Q8729,,,,
Chinese Communist Revolution,event,27,1949,missing,"people_s_republic_of_china (polity, starts exactly 1949) already exists as a bound target",candidate event,Marks the founding of the People's Republic of China.,consider a new event record,https://en.wikipedia.org/wiki/Chinese_Communist_Revolution,Q32993,,http://localhost:8000/explore?entity=people_s_republic_of_china,1949 to present,
Partition of India,event,28,1947,missing,"india and pakistan (polities, both start exactly 1947) already exist as bound targets","candidate event, high value",One of the largest mass migrations in history; marks the end of the British Raj and the founding of both India and Pakistan.,consider a new event record,https://en.wikipedia.org/wiki/Partition_of_India,Q129053,,http://localhost:8000/explore?entity=india,1947 to present,
Cold War,period,29,1947-1991,missing,,candidate period,"A defining, decades-long global geopolitical standoff; no dedicated Histomap record found.",consider a new period record,https://en.wikipedia.org/wiki/Cold_War,Q8683,,,,
Vietnam War,period,30,1955-1975,missing,,candidate period or event,"A major, well-documented war with lasting geopolitical impact.",consider a new period or event record,https://en.wikipedia.org/wiki/Vietnam_War,Q8740,,,,
September 11 attacks,event,31,2001,missing,united_states (polity) already exists as a bound target,candidate event,"A major, globally consequential turning point of the 21st century.",consider a new event record,https://en.wikipedia.org/wiki/September_11_attacks,Q10806,,http://localhost:8000/explore?entity=united_states,,
COVID-19 pandemic,period,32,2019-2023,missing,,"candidate period, borderline recency","A major global event, but very recent -- borderline for a history-focused app; flagging for your judgment rather than assuming inclusion.","your call: consider a new period record, or skip as too recent",https://en.wikipedia.org/wiki/COVID-19_pandemic,Q81068910,,,,
